--- 分析報告 (Analysis Report) ---
分析目錄 (Analyzed Directory): C:\Users\wasd0\Desktop\Telco-Co-Pilot-SFT-Data-Generation-Training\4_filter_out_the_error_log\filter_defind_format_cu_1016_150_case
分析目標 Key (Target Key): 'misconfigured_param'

總共在 54 個檔案中找到目標 Key。
 (Found the target Key in a total of 54 files.)

出現次數 (Count)         | 參數值 (Value)
--------------------------------------------------------------------------------
3                    | gNBs.amf_ip_address.ipv4=127.0.0.3
3                    | gNBs.local_s_address=192.168.70.132
2                    | gNBs.local_s_address=127.0.0.3
2                    | gNBs.local_s_address=192.168.8.43
2                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=127.0.0.3
2                    | gNBs.amf_ip_address.ipv4=127.0.0.5
2                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.70.132
2                    | gNBs.amf_ip_address.ipv4=192.168.8.43
1                    | gNBs.local_s_address=du-hostname
1                    | gNBs.local_s_address=None
1                    | gNBs.remote_s_address=127.0.0.3

1                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NGU=127.0.0.5
1                    | gNBs.remote_s_portd=['2152']
1                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NGU=192.168.70.132
1                    | gNBs.local_s_portd=None
1                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=127.0.0.5
1                    | gNBs.remote_s_portc=None
1                    | gNBs.local_s_address=240.0.0.1
1                    | gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NGU=127.0.0.3
1                    | gNBs.remote_s_address=None
1                    | gNBs.tr_s_preference=udp
1                    | gNBs.local_s_address=0.0.0.0
1                    | gNBs.remote_s_portd=None
1                    | gNBs.tr_s_preference=s1
1                    | gNBs.local_s_address=１２７.０.０.５
1                    | gNBs.local_s_if_name=None
1                    | gNBs.tr_s_preference=1
1                    | gNBs.local_s_address=127.0.0.5/24
1                    | gNBs.local_s_address=169.254.10.10
1                    | gNBs.local_s_address=False
1                    | gNBs.local_s_address= 127.0.0.5 
1                    | gNBs.local_s_portc=None
1                    | gNBs.SCTP.SCTP_OUTSTREAMS=None
1                    | gNBs.local_s_address=127.0 .0.5
1                    | gNBs.SCTP.SCTP_INSTREAMS=1.5
1                    | gNBs.tr_s_preference
1                    | gNBs.local_s_if_name=['lo']
1                    | gNBs.local_s_address=127.0.0
1                    | gNBs.tr_s_preference=None
1                    | gNBs.local_s_portd=2152 
1                    | gNBs.local_s_address=::1
1                    | gNBs.local_s_address={}
1                    | gNBs.local_s_address=127.0.0.5:501
1                    | gNBs.tr_s_preference=F1
