row_index,suffix,modified_count,not_found_count,cu_conf,du_conf
1,row001,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row001.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row001.modified.conf
2,row002,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row002.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row002.modified.conf
3,row003,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row003.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row003.modified.conf
4,row004,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row004.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row004.modified.conf
5,row005,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row005.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row005.modified.conf
6,row006,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row006.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row006.modified.conf
7,row007,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row007.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row007.modified.conf
8,row008,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row008.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row008.modified.conf
9,row009,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row009.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row009.modified.conf
10,row010,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row010.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row010.modified.conf
11,row011,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row011.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row011.modified.conf
12,row012,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row012.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row012.modified.conf
13,row013,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row013.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row013.modified.conf
14,row014,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row014.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row014.modified.conf
15,row015,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row015.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row015.modified.conf
16,row016,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row016.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row016.modified.conf
17,row017,1,0,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\cu_gnb.row017.modified.conf,C:\Users\bmwlab\Desktop\gen_tool\excel_relpace\excel_relpace\confs\du_gnb.row017.modified.conf
